name,email,age
,invalid-email,
user_6_1,user1@example.com,26
user_6_2,user2@example.com,50
user_6_3,user3@example.com,49
user_6_4,user4@example.com,23
user_6_5,user5@example.com,21
user_6_6,user6@example.com,25
user_6_7,user7@example.com,27
user_6_8,user8@example.com,58
user_6_9,invalid-email,28
,user10@example.com,45
user_6_11,user11@example.com,
user_6_12,user12@example.com,22
user_6_13,user13@example.com,42
user_6_14,user14@example.com,42
user_6_15,user15@example.com,56
user_6_16,user16@example.com,47
user_6_17,user17@example.com,51
user_6_18,invalid-email,34
user_6_19,user19@example.com,53
