name,email,age
,invalid-email,
user_1_1,user1@example.com,30
user_1_2,user2@example.com,59
user_1_3,user3@example.com,52
user_1_4,invalid-email,44
,user5@example.com,32
user_1_6,user6@example.com,
user_1_7,user7@example.com,55
user_1_8,invalid-email,35
user_1_9,user9@example.com,18
,user10@example.com,28
user_1_11,user11@example.com,45
user_1_12,invalid-email,
user_1_13,user13@example.com,35
user_1_14,user14@example.com,27
,user15@example.com,31
user_1_16,invalid-email,39
user_1_17,user17@example.com,24
user_1_18,user18@example.com,
user_1_19,user19@example.com,42
