name,email,age
,invalid-email,
user_0_1,user1@example.com,25
user_0_2,user2@example.com,19
user_0_3,invalid-email,35
,user4@example.com,33
user_0_5,user5@example.com,
user_0_6,invalid-email,26
user_0_7,user7@example.com,24
,user8@example.com,52
user_0_9,invalid-email,23
user_0_10,user10@example.com,
user_0_11,user11@example.com,45
,invalid-email,20
user_0_13,user13@example.com,19
user_0_14,user14@example.com,23
user_0_15,invalid-email,
,user16@example.com,32
user_0_17,user17@example.com,50
user_0_18,invalid-email,56
user_0_19,user19@example.com,19
