name,email,age
,invalid-email,
user_2_1,user1@example.com,40
user_2_2,user2@example.com,40
user_2_3,user3@example.com,56
user_2_4,user4@example.com,34
user_2_5,invalid-email,20
,user6@example.com,47
user_2_7,user7@example.com,
user_2_8,user8@example.com,25
user_2_9,user9@example.com,42
user_2_10,invalid-email,23
user_2_11,user11@example.com,53
,user12@example.com,36
user_2_13,user13@example.com,58
user_2_14,user14@example.com,
user_2_15,invalid-email,41
user_2_16,user16@example.com,54
user_2_17,user17@example.com,30
,user18@example.com,22
user_2_19,user19@example.com,20
